"metric","k","label","value"
"davg","3","null","0.07503729785235605"
"davg","3","null","0.08170168474592167"
"davg","3","null","0.07818229233841652"
"davg","3","null","0.07658154093431124"
"davg","3","null","0.08127295463453561"
"davg","3","null","0.07504032295895605"
"davg","3","null","0.07543230856221979"
"davg","3","null","0.08019078933569478"
"davg","3","null","0.07319942460090523"
"davg","3","null","0.07970954644801362"
"davg","3","null","0.07614475375943286"
"davg","3","null","0.07490919440152158"
"davg","3","null","0.07605925572372678"
"davg","3","null","0.07971359101109295"
"davg","3","null","0.08006967676621994"
"davg","3","null","0.08003869592372143"
"davg","3","null","0.07711312987549579"
"davg","3","null","0.0786466189817801"
"davg","3","null","0.07550241533259061"
"davg","3","null","0.08106262626238642"
"davg","3","null","0.07626318307654992"
"davg","3","null","0.07417151381383405"
"davg","3","null","0.07243086838901848"
"davg","3","null","0.07589666791605248"
"davg","3","null","0.07878514871978029"
"davg","3","null","0.07754096480733294"
"davg","3","null","0.08052803091864252"
"davg","3","null","0.07692338454837905"
"davg","3","null","0.07758816855289184"
"davg","3","null","0.08249235911172258"
"davg","3","null","0.07308855465403886"
"davg","3","null","0.07642460546096762"
"davg","3","null","0.07719258152797911"
"davg","3","null","0.07622761991824067"
"davg","3","null","0.08179573962921333"
"davg","3","null","0.07760765126845279"
"davg","3","null","0.08448699063068991"
"davg","3","null","0.07767055151753849"
"davg","3","null","0.0804592260357947"
"davg","3","null","0.07563430111526247"
"davg","3","null","0.07320842236224241"
"davg","3","null","0.07543182311012303"
"davg","3","null","0.07652459457806574"
"davg","3","null","0.0770920030664508"
"davg","3","null","0.08279172300855145"
"davg","3","null","0.07153771893081395"
"davg","3","null","0.07171868077509991"
"davg","3","null","0.0759661983054856"
"davg","3","null","0.08101751534037521"
"davg","3","null","0.07681031117524734"
"davg","3","null","0.08218500721185495"
"davg","3","null","0.08148605084381884"
"davg","3","null","0.07874803278095321"
"davg","3","null","0.08311488744204183"
"davg","3","null","0.0807909543537916"
"davg","3","null","0.07006328609941935"
"davg","3","null","0.07304947340280779"
"davg","3","null","0.08305066240217329"
"davg","3","null","0.07873140493305938"
"davg","3","null","0.0828110910359881"
"davg","3","null","0.07417822754141894"
"davg","3","null","0.07502715989561493"
"davg","3","null","0.07317088739418635"
"davg","3","null","0.0734239846194329"
"davg","3","null","0.0772952712666652"
"davg","3","null","0.07571147259438296"
"davg","3","null","0.07920651391123489"
"davg","3","null","0.07859787333283783"
"davg","3","null","0.08018564905830736"
"davg","3","null","0.07498735153959317"
"davg","3","null","0.0742746253288899"
"davg","3","null","0.07292221722133072"
"davg","3","null","0.07679788792194922"
"davg","3","null","0.07917227082926188"
"davg","3","null","0.07605218713241188"
"davg","3","null","0.07214767247654053"
"davg","3","null","0.07848156287158475"
"davg","3","null","0.07450078251357813"
"davg","3","null","0.07939105619674924"
"davg","3","null","0.07868626524389691"
"davg","3","null","0.075679012501251"
"davg","3","null","0.08112429859877242"
"davg","3","null","0.07698900785789455"
"davg","3","null","0.07922889979219057"
"davg","3","null","0.08094613211843864"
"davg","3","null","0.07844174107507931"
"davg","3","null","0.07703321604764049"
"davg","3","null","0.0792846235862395"
"davg","3","null","0.08403189669304678"
"davg","3","null","0.07709282579677473"
"davg","3","null","0.0806013508412772"
"davg","3","null","0.08003084379707134"
"davg","3","null","0.07565829184209168"
"davg","3","null","0.07951348187614186"
"davg","3","null","0.07740124537669851"
"davg","3","null","0.08148979541768775"
"davg","3","null","0.07512244374701284"
"davg","3","null","0.07771531906443602"
"davg","3","null","0.07397558141564069"
"davg","3","null","0.08031480885749692"
"davg","3","null","0.07524049506876677"
"davg","3","null","0.07929711107201132"
"davg","3","null","0.07535428807208663"
"davg","3","null","0.0750691201388936"
"davg","3","null","0.07754705282300652"
"davg","3","null","0.07824036209760156"
"davg","3","null","0.07732669191788273"
"davg","3","null","0.08143152069040362"
"davg","3","null","0.08038270542883946"
"davg","3","null","0.0788734445998247"
"davg","3","null","0.07285959570519203"
"davg","3","null","0.07619064295040395"
"davg","3","null","0.07962626344062984"
"davg","3","null","0.07742995170563059"
"davg","3","null","0.0727981868814162"
"davg","3","null","0.0788340091186731"
"davg","3","null","0.07672024299203889"
"davg","3","null","0.07970707336498839"
"davg","3","null","0.07593949492477392"
"davg","3","null","0.07776155026288907"
"davg","3","null","0.08137558158474874"
"davg","3","null","0.07688884758571762"
"davg","3","null","0.07387157891814242"
"davg","3","null","0.0764263966564683"
"davg","3","null","0.07777712846494353"
"davg","3","null","0.07384626140479683"
"davg","3","null","0.07410360718141625"
"davg","3","null","0.08010343437063677"
"davg","3","null","0.07701115490299897"
"davg","3","null","0.07713223819084383"
"davg","3","null","0.0757773726510513"
"davg","3","null","0.07706139494831041"
"davg","3","null","0.07510243489829267"
"davg","3","null","0.08247573510944965"
"davg","3","null","0.07604874986065338"
"davg","3","null","0.07752521570164916"
"davg","3","null","0.07608344436140803"
"davg","3","null","0.07645750832273412"
"davg","3","null","0.07627313623834275"
"davg","3","null","0.07745210319589685"
"davg","3","null","0.07981455000142157"
"davg","3","null","0.07194797306006077"
"davg","3","null","0.08220152756755818"
"davg","3","null","0.07576290105527136"
"davg","3","null","0.07556745969401145"
"davg","3","null","0.08057686141350816"
"davg","3","null","0.07533993488218346"
"davg","3","null","0.07780693885032401"
