sample,k,min_mutual_count,median_mutual_count,mean_mutual_count,max_mutual_count,min_d_avg,median_d_avg,mean_d_avg,max_d_avg,mutual_fraction_directed
1,3,0,2,2.02,3,0.003427,0.00952,0.010814,0.029204,0.673333
1,10,1,8,7.28,10,0.008249,0.015584,0.017578,0.038383,0.728
2,3,0,2,1.98,3,0.00304,0.008341,0.010659,0.039725,0.66
2,10,0,7,6.9,10,0.007864,0.013463,0.016884,0.050449,0.69
3,3,0,2,1.84,3,0.003386,0.008901,0.011377,0.036979,0.613333
3,10,0,8,7.22,10,0.009652,0.014906,0.017664,0.041545,0.722
4,3,0,2,1.88,3,0.004326,0.009467,0.012036,0.045611,0.626667
4,10,0,8,7.14,10,0.010814,0.016537,0.019129,0.054621,0.714
5,3,0,2,1.96,3,0.00251,0.009179,0.010986,0.039399,0.653333
5,10,0,8,6.92,10,0.008591,0.016367,0.018162,0.050071,0.692
